NameOfMedicine;InternationalName;ActiveSubstance;Therapeutic;URL
Rituzena (previously Tuxella);rituximab;rituximab;Rituzena is indicated in adults for the following indications: Non-Hodgkin’s lymphoma (NHL)  Rituzena is indicated for the treatment of previously untreated patients with stage III IV follicular lymphoma in combination with chemotherapy. Rituzena monotherapy is indicated for treatment of patients with stage III IV follicular lymphoma who are chemo resistant or are in their second or subsequent relapse after chemotherapy. Rituzena is indicated for the treatment of patients with CD20 positive diffuse large B cell non Hodgkin’s lymphoma in combination with CHOP (cyclophosphamide, doxorubicin, vincristine, prednisolone) chemotherapy.  Chronic lymphocytic leukaemia (CLL)  Rituzena in combination with chemotherapy is indicated for the treatment of patients with previously untreated and relapsed/refractory CLL. Only limited data are available on efficacy and safety for patients previously treated with monoclonal antibodies including Rituzenaor patients refractory to previous Rituzena plus chemotherapy.  Granulomatosis with polyangiitis and microscopic polyangiitis  Rituzena, in combination with glucocorticoids, is indicated for the induction of remission in adult patients with severe, active granulomatosis with polyangiitis (Wegener’s) (GPA) and microscopic polyangiitis (MPA).;https://www.ema.europa.eu/en/medicines/human/EPAR/rituzena
ATryn;antithrombin alfa;Antithrombin alfa;ATryn is indicated for the prophylaxis of venous thromboembolism in surgery of patients with congenital antithrombin deficiency. ATryn is normally given in association with heparin or low molecular weight heparin.;https://www.ema.europa.eu/en/medicines/human/EPAR/atryn
Airexar Spiromax;"salmeterol xinafoate;fluticasone propionate";"salmeterol;fluticasone propionate";"Airexar Spiromax is indicated for use in adults aged 18 years and older only. AsthmaAirexar Spiromax is indicated for the regular treatment of patients with severe asthma where use of a combination product (inhaled corticosteroid and long-acting ?2 agonist) is appropriate: - patients not adequately controlled on a lower strength corticosteroid combination product or - patients already controlled on a high dose inhaled corticosteroid and long-acting ?2 agonist. Chronic Obstructive Pulmonary Disease (COPD)Airexar Spiromax is indicated for the symptomatic treatment of patients with COPD, with a FEV1 &lt;60% predicted normal (pre-bronchodilator) and a history of repeated exacerbations, who have significant symptoms despite regular bronchodilator therapy.";https://www.ema.europa.eu/en/medicines/human/EPAR/airexar-spiromax
ABP 710;infliximab;infliximab;Treatment of rheumatoid arthritis, Crohn's disease, ankylosing spondylitis, psoriatic arthritis, psoriasis and ulcerative colitis;https://www.ema.europa.eu/en/medicines/human/EPAR/abp-710
Ingelvac PCV FLEX;Porcine circovirus vaccine (inactivated);porcine circovirus type 2 ORF2 protein;For active immunisation of pigs with no PCV2 maternally derived antibodies from the age of 2 weeks against porcine circovirus type 2 (PCV2);https://www.ema.europa.eu/en/medicines/veterinary/EPAR/ingelvac-pcv-flex
Ketek;telithromycin;telithromycin;"When prescribing Ketek, consideration should be given to official guidance on the appropriate use ofantibacterial agents and the local prevalence of resistance. Ketek is indicated for the treatment of the following infections: In patients of 18 years and older  community-acquired pneumonia, mild or moderate. when treating infections caused by known or suspected beta-lactam- and / or macrolide-resistant strains (according to history of patients or national and / or regional resistance data) covered by the antibacterial spectrum of telithromycin:  acute exacerbation of chronic bronchitis; acute sinusitis;    In patients of 12 years and older  tonsillitis / pharyngitis caused by Streptococcus pyogenes, as an alternative when beta-lactam antibiotics are not appropriate in countries / regions with a significant prevalence of macrolide-resistant S. pyogenes, when mediated by ermTR or mefA.";https://www.ema.europa.eu/en/medicines/human/EPAR/ketek
Wilzin;zinc;zinc;Treatment of Wilson's disease.;https://www.ema.europa.eu/en/medicines/human/EPAR/wilzin
Ambrisentan Zentiva;ambrisentan;ambrisentan;Treatment of pulmonary arterial hypertension.;https://www.ema.europa.eu/en/medicines/human/EPAR/ambrisentan-zentiva
Versican Plus DHPPi/L4;live, attenuated Canine distemper virus, canine adenovirus, canine parvovirus, canine parainfluenza virus inactivated;canine distemper virus, strain CDV Bio 11/A, canine adenovirus type 2, strain CAV-2 Bio 13, canine parvovirus type 2b, strain CPV-2b Bio 12/B, canine parainfluenza type 2 virus, strain CPiV-2 Bio 15 (all live attenuated), Leptospira interrogans serogroup Australis serovar Bratislava, strain MSLB 1088, L. interrogans serogroup Icterohaemorrhagiae serovar Icterohaemorrhagiae, strain MSLB 1089, L. interrogans serogroup Canicola serovar Canicola, strain MSLB 1090, L. kirschneri serogroup Grippotyphosa serovar Grippotyphosa, strain MSLB 1091...;Active immunisation of dogs from 6 weeks of age:  to prevent mortality and clinical signs caused by canine distemper virus, to prevent mortality and clinical signs caused by canine adenovirus type 1, to prevent clinical signs and reduce viral excretion caused by canine adenovirus type 2, to prevent clinical signs, leucopoenia and viral excretion caused by canine parvovirus, to prevent clinical signs (nasal and ocular discharge) and reduce viral excretion caused by canine parainfluenza virus, to prevent clinical signs, infection and urinary excretion caused by L. interrogans serogroup Australis serovar Bratislava, to prevent clinical signs and urinary excretion and reduce infection caused by L. interrogans serogroup Canicola serovar Canicola and L. interrogans serogroup Icterohaemorrhagiae serovar Icterohaemorrhagiae and to prevent clinical signs and reduce infection and urinary excretion caused by L. interrogans serogroup Grippotyphosa serovar Grippotyphosa.;https://www.ema.europa.eu/en/medicines/veterinary/EPAR/versican-plus-dhppi-l4
Versican Plus DHPPi/L4;live, attenuated Canine distemper virus, canine adenovirus, canine parvovirus, canine parainfluenza virus inactivated;canine distemper virus, strain CDV Bio 11/A, canine adenovirus type 2, strain CAV-2 Bio 13, canine parvovirus type 2b, strain CPV-2b Bio 12/B, canine parainfluenza type 2 virus, strain CPiV-2 Bio 15 (all live attenuated), Leptospira interrogans serogroup Australis serovar Bratislava, strain MSLB 1088, L. interrogans serogroup Icterohaemorrhagiae serovar Icterohaemorrhagiae, strain MSLB 1089, L. interrogans serogroup Canicola serovar Canicola, strain MSLB 1090, L. kirschneri serogroup Grippotyphosa serovar Grippotyphosa, strain MSLB 1091...;Active immunisation of dogs from 6 weeks of age:  to prevent mortality and clinical signs caused by canine distemper virus, to prevent mortality and clinical signs caused by canine adenovirus type 1, to prevent clinical signs and reduce viral excretion caused by canine adenovirus type 2, to prevent clinical signs, leucopoenia and viral excretion caused by canine parvovirus, to prevent clinical signs (nasal and ocular discharge) and reduce viral excretion caused by canine parainfluenza virus, to prevent clinical signs, infection and urinary excretion caused by L. interrogans serogroup Australis serovar Bratislava, to prevent clinical signs and urinary excretion and reduce infection caused by L. interrogans serogroup Canicola serovar Canicola and L. interrogans serogroup Icterohaemorrhagiae serovar Icterohaemorrhagiae and to prevent clinical signs and reduce infection and urinary excretion caused by L. interrogans serogroup Grippotyphosa serovar Grippotyphosa.;https://www.ema.europa.eu/en/medicines/veterinary/EPAR/versican-plus-dhppi-l4
Versican Plus DHPPi;canine distemper virus, canine adenovirus, canine parvovirus, canine parainfluenza virus;canine distemper virus, strain CDV Bio 11/A, canine adenovirus type 2, strain CAV-2 Bio 13, canine parvovirus type 2b, strain CPV-2b Bio 12/B and canine parainfluenza type 2 virus, strain CPiV-2 Bio 15 (all live attenuated);Active immunisation of dogs from six weeks of age.  to prevent mortality and clinical signs caused by canine distemper virus, to prevent mortality and clinical signs caused by canine adenovirus type 1, to prevent clinical signs and reduce viral excretion caused by canine adenovirus type 2, to prevent clinical signs, leukopenia and viral excretion caused by canine parvovirus,  to prevent clinical signs and reduce viral excretion caused by canine parainfluenza virus.;https://www.ema.europa.eu/en/medicines/veterinary/EPAR/versican-plus-dhppi
Versican Plus DHPPi;canine distemper virus, canine adenovirus, canine parvovirus, canine parainfluenza virus;canine distemper virus, strain CDV Bio 11/A, canine adenovirus type 2, strain CAV-2 Bio 13, canine parvovirus type 2b, strain CPV-2b Bio 12/B and canine parainfluenza type 2 virus, strain CPiV-2 Bio 15 (all live attenuated);Active immunisation of dogs from six weeks of age.  to prevent mortality and clinical signs caused by canine distemper virus, to prevent mortality and clinical signs caused by canine adenovirus type 1, to prevent clinical signs and reduce viral excretion caused by canine adenovirus type 2, to prevent clinical signs, leukopenia and viral excretion caused by canine parvovirus,  to prevent clinical signs and reduce viral excretion caused by canine parainfluenza virus.;https://www.ema.europa.eu/en/medicines/veterinary/EPAR/versican-plus-dhppi
Eryseng Parvo;Porcine parvovirus and Erysipelothrix rhusiopathiae;porcine parvovirus, strain NADL-2 and Erysipelothrix rhusiopathiae, strain R32E11 (inactivated);For the active immunisation of female pigs for the protection of progeny against transplacental infection caused by porcine parvovirus. For the active immunisation of male and female pigs to reduce clinical signs (skin lesions and fever) of swine erysipelas caused by Erysipelothrix rhusiopathiae, serotype 1 and serotype 2.;https://www.ema.europa.eu/en/medicines/veterinary/EPAR/eryseng-parvo
Eryseng Parvo;Porcine parvovirus and Erysipelothrix rhusiopathiae;porcine parvovirus, strain NADL-2 and Erysipelothrix rhusiopathiae, strain R32E11 (inactivated);For the active immunisation of female pigs for the protection of progeny against transplacental infection caused by porcine parvovirus. For the active immunisation of male and female pigs to reduce clinical signs (skin lesions and fever) of swine erysipelas caused by Erysipelothrix rhusiopathiae, serotype 1 and serotype 2.;https://www.ema.europa.eu/en/medicines/veterinary/EPAR/eryseng-parvo
Eryseng;Erysipelothrix rhusiopathiae;Erysipelothrix rhusiopathiae, strain R32E11 (inactivated);For the active immunisation of male and female pigs to reduce clinical signs (skin lesions and fever) of swine erysipelas caused by Erysipelothrix rhusiopathiae, serotype 1 and serotype 2.;https://www.ema.europa.eu/en/medicines/veterinary/EPAR/eryseng
Eryseng;Erysipelothrix rhusiopathiae;Erysipelothrix rhusiopathiae, strain R32E11 (inactivated);For the active immunisation of male and female pigs to reduce clinical signs (skin lesions and fever) of swine erysipelas caused by Erysipelothrix rhusiopathiae, serotype 1 and serotype 2.;https://www.ema.europa.eu/en/medicines/veterinary/EPAR/eryseng
Arzerra;ofatumumab;Ofatumumab;Previously untreated chronic lymphocytic leukaemia (CLL): Arzerra in combination with chlorambucil or bendamustine is indicated for the treatment of patients with CLL who have not received prior therapy and who are not eligible for fludarabine-based therapy. Relapsed CLL: Arzerra is indicated in combination with fludarabine and cyclophosphamide for the treatment of adult patients with relapsed CLL. Refractory CLL: Arzerra is indicated for the treatment of CLL in patients who are refractory to fludarabine and alemtuzumab.;https://www.ema.europa.eu/en/medicines/human/EPAR/arzerra
Canakinumab Novartis;canakinumab;Canakinumab;Prevention of major cardiovascular events;https://www.ema.europa.eu/en/medicines/human/EPAR/canakinumab-novartis
Parvoduk;live attenuated Muscovy duck parvovirus;live attenuated Muscovy duck parvovirus;Active immunisation of ducks to prevent mortality1 and to reduce weight loss and lesions of duck parvovirosis and Derzsy's disease.  1In absence of maternally derived antibodies.;https://www.ema.europa.eu/en/medicines/veterinary/EPAR/parvoduk
Parvoduk;live attenuated Muscovy duck parvovirus;live attenuated Muscovy duck parvovirus;Active immunisation of ducks to prevent mortality1 and to reduce weight loss and lesions of duck parvovirosis and Derzsy's disease.  1In absence of maternally derived antibodies.;https://www.ema.europa.eu/en/medicines/veterinary/EPAR/parvoduk
Parvoduk;live attenuated Muscovy duck parvovirus;live attenuated Muscovy duck parvovirus;Active immunisation of ducks to prevent mortality1 and to reduce weight loss and lesions of duck parvovirosis and Derzsy's disease.  1In absence of maternally derived antibodies.;https://www.ema.europa.eu/en/medicines/veterinary/EPAR/parvoduk
Efgratin;pegfilgrastim;pegfilgrastim;Treatment of neutropenia.;https://www.ema.europa.eu/en/medicines/human/EPAR/efgratin-0
Cavoley;pegfilgrastim;pegfilgrastim;Treatment of neutropenia.;https://www.ema.europa.eu/en/medicines/human/EPAR/cavoley-0
Silgard;human papillomavirus vaccine [types 6, 11, 16, 18] (recombinant, adsorbed);"human papillomavirus type 6 L1 protein;human papillomavirus type 11 L1 protein;human papillomavirus type 16 L1 protein;human papillomavirus type 18 L1 protein";"Silgard is a vaccine for use from the age of 9 years for the prevention of:  premalignant genital lesions (cervical, vulvar and vaginal), premalignant anal lesions, cervical cancers and anal cancers causally related to certain oncogenic Human Papillomavirus (HPV) types; genital warts (condyloma acuminata) causally related to specific HPV types.  See sections 4.4 and 5.1 for important information on the data that support this indication. The use of Silgard should be in accordance with official recommendations.";https://www.ema.europa.eu/en/medicines/human/EPAR/silgard
Equitend;;;;https://www.ema.europa.eu/en/medicines/veterinary/EPAR/equitend
Vantobra;tobramycin;Tobramycin;Vantobra is indicated for the management of chronic pulmonary infection due to Pseudomonas aeruginosa in patients aged 6 years and older with cystic fibrosis (CF). Consideration should be given to official guidance on the appropriate use of antibacterial agents.;https://www.ema.europa.eu/en/medicines/human/EPAR/vantobra
Vantobra;tobramycin;Tobramycin;Vantobra is indicated for the management of chronic pulmonary infection due to Pseudomonas aeruginosa in patients aged 6 years and older with cystic fibrosis (CF). Consideration should be given to official guidance on the appropriate use of antibacterial agents.;https://www.ema.europa.eu/en/medicines/human/EPAR/vantobra
Fungitraxx;itraconazole;Itraconazole;For the treatment of aspergillosis and candidiasis in companion birds;https://www.ema.europa.eu/en/medicines/veterinary/EPAR/fungitraxx
Fungitraxx;itraconazole;Itraconazole;For the treatment of aspergillosis and candidiasis in companion birds;https://www.ema.europa.eu/en/medicines/veterinary/EPAR/fungitraxx
Fungitraxx;itraconazole;Itraconazole;For the treatment of aspergillosis and candidiasis in companion birds;https://www.ema.europa.eu/en/medicines/veterinary/EPAR/fungitraxx
Longrange;eprinomectin;eprinomectin;"Treatment of the following parasites:  Gastrointestinal Roundworms (Adult and L4):  - Ostertagia ostertagi/lyrata, Cooperia oncophora/surnabada, C. punctata, Haemonchus contortus, Trichostrongylus axei, T. colubriformis, Bunostomum phlebotomum, Nematodirus helvetianus, Oesophagostomum radiatum  Lungworm (Adults and L4):  - Dictyocaulus viviparus  Warbles (parasitic stages):  - Hypoderma bovis, H. lineatum  Mange mites:  - Sarcoptes scabiei var.  Bovis Lice: Linognathus vituli, Haematopinus eurysternus, Solenoptes capillatus  Horn flies: Haematobia irritans Prevention of reinfections with the following parasites:    - Dictyocaulus viviparus, Ostertagia ostertagi/lyrata, Trichostrongylus colubriformis, Haemonchus contortus, and Bunostomum phlebotomum; - Oesophagostomum radiatum, Cooperia oncophora/surnabada, C. punctata and Trichostrongylus axei.";https://www.ema.europa.eu/en/medicines/veterinary/EPAR/longrange
Altargo;retapamulin;retapamulin;"Short term treatment of the following superficial skin infections:  impetigo; infected small lacerations, abrasions or sutured wounds.  See sections 4.4 and 5.1 for important information regarding the clinical activity of retapamulin against different types of Staphylococcus aureus. Consideration should be given to official guidance on the appropriate use of antibacterial agents.";https://www.ema.europa.eu/en/medicines/human/EPAR/altargo
Topotecan Actavis;topotecan;topotecan;Topotecan monotherapy is indicated for the treatment of patients with relapsed small cell lung cancer [SCLC] for whom re-treatment with the first-line regimen is not considered appropriate. Topotecan in combination with cisplatin is indicated for patients with carcinoma of the cervix recurrent after radiotherapy and for patients with Stage IVB disease. Patients with prior exposure to cisplatin require a sustained treatment free interval to justify treatment with the combination.;https://www.ema.europa.eu/en/medicines/human/EPAR/topotecan-actavis
Cyltezo;adalimumab;adalimumab;Please refer to section 4.1 of the Summary of product characteristics in the product information document.;https://www.ema.europa.eu/en/medicines/human/EPAR/cyltezo
Solymbic;adalimumab;adalimumab;Please refer to section 4.1 of the Summary of product characteristics in the product information document.;https://www.ema.europa.eu/en/medicines/human/EPAR/solymbic
Epjevy;;;Treatment of disease-related splenomegaly and control of symptoms in patients with primary myelofibrosis (PMF), post-polycythemia vera myelofibrosis (PPV-MF), or post-essential thrombocythemia myelofibrosis (PET-MF) who have thrombocytopenia (platelet counts ?100,000 /?L).;https://www.ema.europa.eu/en/medicines/human/EPAR/epjevy
Eperzan;albiglutide;Albiglutide;Eperzan is indicated for the treatment of type 2 diabetes mellitus in adults to improve glycaemic control as: Monotherapy When diet and exercise alone do not provide adequate glycaemic control in patients for whom use of metformin is considered inappropriate due to contraindications or intolerance. Add-on combination therapy In combination with other glucose-lowering medicinal products including basal insulin, when these, together with diet and exercise, do not provide adequate glycaemic control (see section 4.4 and 5.1 for available data on different combinations).;https://www.ema.europa.eu/en/medicines/human/EPAR/eperzan
Eladynos;abaloparatide;abaloparatide;Treatment of osteoporosis.;https://www.ema.europa.eu/en/medicines/human/EPAR/eladynos-0
Clevor;ropinirole;ropinirole hydrochloride;Induction of vomiting in dogs.;https://www.ema.europa.eu/en/medicines/veterinary/EPAR/clevor
Clevor;ropinirole;ropinirole hydrochloride;Induction of vomiting in dogs.;https://www.ema.europa.eu/en/medicines/veterinary/EPAR/clevor
Meloxidyl;meloxicam;meloxicam;Dogs Alleviation of inflammation and pain in both acute and chronic musculoskeletal disorders. Reduction of post-operative pain and inflammation following orthopaedic and soft-tissue surgery. Cats Reduction of post-operative pain after ovariohysterectomy and minor soft-tissue surgery. Cattle For use in acute respiratory infection with appropriate antibiotic therapy to reduce clinical signs in cattle. For use in diarrhoea in combination with oral rehydration therapy to reduce clinical signs in calves of over one week of age and young, non-lactating cattle. For adjunctive therapy in the treatment of acute mastitis, in combination with antibiotic therapy. Pigs For use in non-infectious locomotor disorders to reduce the symptoms of lameness and inflammation. For adjunctive therapy in the treatment of puerperal septicaemia and toxaemia (mastitis-metritis-agalactia syndrome) with appropriate antibiotic therapy. Horses For use in the alleviation of inflammation and relief of pain in both acute and chronic musculoskeletal disorders. For the relief of pain associated with equine colic.;https://www.ema.europa.eu/en/medicines/veterinary/EPAR/meloxidyl
Isemid;Torasemide;Torasemide;For treatment of clinical signs related to congestive heart failure in dogs, including pulmonary oedema.;https://www.ema.europa.eu/en/medicines/veterinary/EPAR/isemid
Isemid;Torasemide;Torasemide;For treatment of clinical signs related to congestive heart failure in dogs, including pulmonary oedema.;https://www.ema.europa.eu/en/medicines/veterinary/EPAR/isemid
Graspa;asparaginase;asparaginase;Treatment of acute lymphoblastic leukaemia;https://www.ema.europa.eu/en/medicines/human/EPAR/graspa-0
Lusduna;insulin glargine;insulin glargine;Treatment of diabetes mellitus in adults, adolescents and children aged 2 years and above.;https://www.ema.europa.eu/en/medicines/human/EPAR/lusduna
Cyanokit;hydroxocobalamin;hydroxocobalamin;Treatment of known or suspected cyanide poisoning. Cyanokit is to be administered together with appropriate decontamination and supportive measures.;https://www.ema.europa.eu/en/medicines/human/EPAR/cyanokit
Ivabradine JensonR;ivabradine;ivabradine hydrochloride;Symptomatic treatment of chronic stable angina pectoris in coronary artery disease adults with normal sinus rhythm and heart rate ? 70 bpm. Ivabradine is indicated: - in adults unable to tolerate or with a contra-indication to the use of beta-blockers - or in combination with beta-blockers in patients inadequately controlled with an optimal beta-blocker dose. Treatment of chronic heart failure Ivabradine is indicated in chronic heart failure NYHA II to IV class with systolic dysfunction, in patients in sinus rhythm and whose heart rate is ? 75 bpm, in combination with standard therapy including beta-blocker therapy or when beta-blocker therapy is contraindicated or not tolerated.;https://www.ema.europa.eu/en/medicines/human/EPAR/ivabradine-jensonr
Fyzoclad;adalimumab;adalimumab;Treatment of juvenile idiopathic arthritis, paediatric plaque psoriasis, paediatric uveitis;https://www.ema.europa.eu/en/medicines/human/EPAR/fyzoclad
Entolimod TMC;;Entolimod;Treatment of acute radiation syndrome;https://www.ema.europa.eu/en/medicines/human/EPAR/entolimod-tmc
Exondys;eteplirsen;eteplirsen;Treatment of Duchenne muscular dystrophy.;https://www.ema.europa.eu/en/medicines/human/EPAR/exondys
Zoledronic acid Teva Pharma;zoledronic acid;zoledronic acid;"Treatment of osteoporosis:  in post-menopausal women; in men;  at increased risk of fracture including those with a recent low-trauma hip fracture. Treatment of osteoporosis associated with long-term systemic glucocorticoid therapy:  in post-menopausal women; in men;  at increased risk of fracture. Treatment of Paget’s disease of the bone in adults.";https://www.ema.europa.eu/en/medicines/human/EPAR/zoledronic-acid-teva-pharma
Rhiniseng;inactivated vaccine to prevent progressive and non-progressive atrophic rhinitis in pigs;"inactivated Bordetella bronchiseptica, strain 833CER;recombinant type-D Pasteurella-multocida toxin";For the passive protection of piglets via colostrum after active immunisation of sows and gilts to reduce the clinical signs and lesions of progressive and non-progressive atrophic rhinitis, as well as to reduce weight loss associated with Bordetella-bronchiseptica and Pasteurella-multocida infections during the fattening period. Challenge studies have demonstrated that passive immunity lasts until piglets are six weeks of age while in clinical field trials, the beneficial effects of vaccination (reduction in nasal lesion score and weight loss) are observed until slaughter.;https://www.ema.europa.eu/en/medicines/veterinary/EPAR/rhiniseng
Zydax;;;For the treatment of lameness, pain and mobility impairment of osteoarthritis (non-infectious arthrosis) and related musculoskeletal disorders by therapeutic activity on the underlying pathological processes (disease modifying osteoarthritis drug) in dogs.;https://www.ema.europa.eu/en/medicines/veterinary/EPAR/zydax
HopGuard Gold;;;Treatment of varroosis due to Varroa destructor.;https://www.ema.europa.eu/en/medicines/veterinary/EPAR/hopguard-gold
Trobalt;retigabine;retigabine;Trobalt is indicated as adjunctive treatment of drug-resistant partial-onset seizures with or without secondary generalisation in patients aged 18 years or older with epilepsy, where other appropriate drug combinations have proved inadequate or have not been tolerated.;https://www.ema.europa.eu/en/medicines/human/EPAR/trobalt
BTVPUR AlSap 2-4;inactivated adjuvanted vaccine against bluetongue virus serotype 2 and 4 infections;"bluetongue-virus serotype-2 antigen;bluetongue-virus serotype-4 antigen";Active immunisation of sheep to prevent viraemia and to reduce clinical signs caused by bluetongue virus serotypes 2 and 4.;https://www.ema.europa.eu/en/medicines/veterinary/EPAR/btvpur-alsap-2-4
BTVPUR AlSap 2-4;inactivated adjuvanted vaccine against bluetongue virus serotype 2 and 4 infections;"bluetongue-virus serotype-2 antigen;bluetongue-virus serotype-4 antigen";Active immunisation of sheep to prevent viraemia and to reduce clinical signs caused by bluetongue virus serotypes 2 and 4.;https://www.ema.europa.eu/en/medicines/veterinary/EPAR/btvpur-alsap-2-4
BTVPUR AlSap 2-4;inactivated adjuvanted vaccine against bluetongue virus serotype 2 and 4 infections;"bluetongue-virus serotype-2 antigen;bluetongue-virus serotype-4 antigen";Active immunisation of sheep to prevent viraemia and to reduce clinical signs caused by bluetongue virus serotypes 2 and 4.;https://www.ema.europa.eu/en/medicines/veterinary/EPAR/btvpur-alsap-2-4
Ionsys;fentanyl;fentanyl hydrochloride;Ionsys is indicated for the management of acute moderate to severe post-operative pain in adult patients.;https://www.ema.europa.eu/en/medicines/human/EPAR/ionsys
Rabigen SAG2;live vaccine against rabies;live attenuated rabies virus, SAG2 strain;For the active immunisation of red foxes and raccoon dogs to prevent infection by rabies virus.The duration of protection is of at least 6 months.;https://www.ema.europa.eu/en/medicines/veterinary/EPAR/rabigen-sag2
Equilis West Nile;inactivated chimaeric flavivirus strain YF-WN;inactivated chimaeric flavivirus strain YF-WN;Active immunisation of horses against West Nile virus (WNV) to reduce clinical signs of disease and lesions in the brain and to reduce viraemia. Onset of immunity: 2 weeks after primary vaccination course of two injections. Duration of immunity: 12 months.;https://www.ema.europa.eu/en/medicines/veterinary/EPAR/equilis-west-nile
Raplixa;"human fibrinogen;human thrombin";"human fibrinogen;human thrombin";Supportive treatment where standard surgical techniques are insufficient for improvement of haemostasis. Raplixa must be used in combination with an approved gelatin sponge. Raplixa is indicated in adults over 18 years of age.;https://www.ema.europa.eu/en/medicines/human/EPAR/raplixa
Imatinib Teva B.V.;imatinib;imatinib mesilate;"Imatinib Teva B.V. is indicated for the treatment of:  Paediatric patients with newly diagnosed Philadelphia chromosome (bcr-abl) positive (Ph+) chronic myeloid leukaemia (CML) for whom bone marrow transplantation is not considered as the first line of treatment. Paediatric patients with Ph+ CML in chronic phase after failure of interferon-alpha therapy, or in accelerated phase or blast crisis. Adult patients with Ph+ CML in blast crisis. Adult and paediatric patients with newly diagnosed Philadelphia chromosome positive acute lymphoblastic leukaemia (Ph+ ALL) integrated with chemotherapy. Adult patients with relapsed or refractory Ph+ ALL as monotherapy. &nbsp;Adult patients with myelodysplastic/myeloproliferative diseases (MDS/MPD) associated with platelet-derived growth factor receptor (PDGFR) gene re-arrangements. Adult patients with advanced hypereosinophilic syndrome (HES) and/or chronic eosinophilic leukaemia (CEL) with FIP1L1-PDGFR? rearrangement.  The effect of imatinib on the outcome of bone marrow transplantation has not been determined. Imatinib Teva B.V. is indicated for:  The treatment of adult patients with Kit (CD 117) positive unresectable and/or metastatic malignant gastrointestinal stromal tumours (GIST). The adjuvant treatment of adult patients who are at significant risk of relapse following resection of Kit (CD117)-positive GIST. Patients who have a low or very low risk of recurrence should not receive adjuvant treatment. The treatment of adult patients with unresectable dermatofibrosarcoma protuberans (DFSP) and adult patients with recurrent and/or metastatic DFSP who are not eligible for surgery.  In adult and paediatric patients, the effectiveness of imatinib is based on overall haematological and cytogenetic response rates and progression-free survival in CML, on haematological and cytogenetic response rates in Ph+ ALL, MDS/MPD, on haematological response rates in HES/CEL and on objective response rates in adult patients with unresectable and/or metastatic GIST and DFSP and on recurrence-free survival in adjuvant GIST. The experience with imatinib in patients with MDS/MPD associated with PDGFR gene re-arrangements is very limited. There are no controlled trials demonstrating a clinical benefit or increased survival for these diseases.";https://www.ema.europa.eu/en/medicines/human/EPAR/imatinib-teva-bv
Dexxience;betrixaban;betrixaban maleate;Prevention of venous thromboembolism;https://www.ema.europa.eu/en/medicines/human/EPAR/dexxience
Trifexis;"spinosad;milbemycin oxime";"spinosad;milbemycin oxime";"For the treatment and prevention of flea (Ctenocephalides felis) infestations in dogs where one or more of the following indications are required concurrently:    prevention of heartworm disease (L3, L4 Dirofilaria immitis); prevention of angiostrongylosis by reducing the level of infection with immature adult (L5) Angiostrongylus vasorum; treatment of gastrointestinal nematode infections caused by hookworm (L4, immature adult, L5) and adult Ancylostoma caninum), roundworms (immature adult L5, and adult Toxocara canis and adult Toxascaris leonina) and whipworm (adult Trichuris vulpis).   ";https://www.ema.europa.eu/en/medicines/veterinary/EPAR/trifexis
Trifexis;"spinosad;milbemycin oxime";"spinosad;milbemycin oxime";"For the treatment and prevention of flea (Ctenocephalides felis) infestations in dogs where one or more of the following indications are required concurrently:    prevention of heartworm disease (L3, L4 Dirofilaria immitis); prevention of angiostrongylosis by reducing the level of infection with immature adult (L5) Angiostrongylus vasorum; treatment of gastrointestinal nematode infections caused by hookworm (L4, immature adult, L5) and adult Ancylostoma caninum), roundworms (immature adult L5, and adult Toxocara canis and adult Toxascaris leonina) and whipworm (adult Trichuris vulpis).   ";https://www.ema.europa.eu/en/medicines/veterinary/EPAR/trifexis
Treprostinil SciPharm Sàrl;treprostinil;Treprostinil;Treatment of chronic thromboembolic pulmonary hypertension;https://www.ema.europa.eu/en/medicines/human/EPAR/treprostinil-scipharm-sarl
Angiox;bivalirudin;Bivalirudin;Angiox is indicated as an anticoagulant in adult patients undergoing percutaneous coronary intervention (PCI), including patients with ST-segment-elevation myocardial infarction (STEMI) undergoing primary PCI. Angiox is also indicated for the treatment of adult patients with unstable angina / non-ST-segment-elevation myocardial infarction (UA / NSTEMI) planned for urgent or early intervention. Angiox should be administered with aspirin and clopidogrel.;https://www.ema.europa.eu/en/medicines/human/EPAR/angiox
Prac-tic;pyriprole;pyriprole;Treatment and prevention of flea infestation (Ctenocephalides canis and C. felis) in dogs. Efficacy against new infestations with fleas persists for a minimum of 4 weeks. Treatment and prevention of tick infestation (Ixodes ricinus, Rhipicephalus sanguineus, Ixodes scapularis, Dermacentor reticulatus, Dermacentor variabilis, Amblyomma americanum) in dogs. Efficacy against ticks persists for 4 weeks.;https://www.ema.europa.eu/en/medicines/veterinary/EPAR/prac-tic
Gripovac 3;"inactivated influenza-A virus;swine";"inactivated influenza-A virus;swine";Active immunisation of pigs from the age of 56 days onwards including pregnant sows against swine influenza caused by subtypes H1N1, H3N2 and H1N2 to reduce clinical signs and viral lung load after infection. Onset of immunity: 7 days after primary vaccination. Duration of immunity: 4 months in pigs vaccinated between the age of 56 and 96 days and 6 months in pigs vaccinated for the first time at 96 days and above. Active immunisation of pregnant sows after finished primary immunisation by administration of a single dose 14 days prior to farrowing to develop high colostral immunity which provides clinical protection of piglets for at least 33 days after birth.;https://www.ema.europa.eu/en/medicines/veterinary/EPAR/gripovac-3
